Sample alias,EPI_ISL_ID,EPI_SET_ID,Lineage group,Sample collection date
hCoV-19/Denmark/DCGC-110439/2021,EPI_ISL_2675641,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110444/2021,EPI_ISL_2675646,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110452/2021,EPI_ISL_2675652,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110454/2021,EPI_ISL_2675654,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110458/2021,EPI_ISL_2675658,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110459/2021,EPI_ISL_2675659,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110462/2021,EPI_ISL_2675662,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110467/2021,EPI_ISL_2675667,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110487/2021,EPI_ISL_2675680,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110493/2021,EPI_ISL_2675686,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110494/2021,EPI_ISL_2675687,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110495/2021,EPI_ISL_2675688,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110503/2021,EPI_ISL_2675696,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110515/2021,EPI_ISL_2675706,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110518/2021,EPI_ISL_2675708,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110522/2021,EPI_ISL_3074172,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110523/2021,EPI_ISL_2675711,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110535/2021,EPI_ISL_2675719,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110540/2021,EPI_ISL_2675724,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-110543/2021,EPI_ISL_2675727,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110550/2021,EPI_ISL_2675733,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110566/2021,EPI_ISL_2675743,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110571/2021,EPI_ISL_2675748,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110574/2021,EPI_ISL_3074180,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110581/2021,EPI_ISL_2675753,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110585/2021,EPI_ISL_2675756,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110588/2021,EPI_ISL_3074182,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110590/2021,EPI_ISL_2675760,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110593/2021,EPI_ISL_3074183,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110604/2021,EPI_ISL_2675772,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110608/2021,EPI_ISL_2675774,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110611/2021,EPI_ISL_2675777,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110612/2021,EPI_ISL_3074185,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110615/2021,EPI_ISL_2675780,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110617/2021,EPI_ISL_2675781,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110623/2021,EPI_ISL_2675787,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110632/2021,EPI_ISL_3074188,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110635/2021,EPI_ISL_3074189,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110641/2021,EPI_ISL_2675799,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110645/2021,EPI_ISL_2675803,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110663/2021,EPI_ISL_2675818,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110674/2021,EPI_ISL_2675826,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110679/2021,EPI_ISL_2675831,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110680/2021,EPI_ISL_2675832,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110691/2021,EPI_ISL_2675840,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110696/2021,EPI_ISL_3074195,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110699/2021,EPI_ISL_2675845,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110712/2021,EPI_ISL_2675853,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110726/2021,EPI_ISL_2675862,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110741/2021,EPI_ISL_2675874,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110742/2021,EPI_ISL_3074201,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110751/2021,EPI_ISL_2675877,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110767/2021,EPI_ISL_3074209,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-110774/2021,EPI_ISL_3074211,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110775/2021,EPI_ISL_2675886,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110781/2021,EPI_ISL_2665411,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110782/2021,EPI_ISL_3074212,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110786/2021,EPI_ISL_2665414,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110788/2021,EPI_ISL_2665416,EPI_SET_230103mu,Alpha,2021-06-07
